word,upper_left_x,upper_right_x,bottom_right_x,bottom_left_x,upper_left_y,upper_right_y,bottom_right_y,bottom_left_y
OLYMPIA,1408,1851,1850,1407,166,173,239,232
BRYAN,2360,2671,2669,2358,184,194,262,252
FERRY,2732,3014,3012,2730,196,205,272,263
RECORDS,984,1059,1059,984,201,201,211,211
5099990642821,3231,3446,3446,3231,223,227,253,249
COLUMBIA,1204,935,935,1204,463,463,412,412
88697986712,3456,3151,3152,3457,496,492,445,449
LEONARD,2993,2648,2650,2995,495,487,420,428
COHEN,2615,2358,2360,2617,496,490,414,420
OLD,2157,2008,2009,2158,475,473,408,410
IDEAS,1973,1746,1747,1974,472,468,400,404
512351,918,1076,1076,918,670,671,701,700
2,1098,1117,1117,1098,672,672,701,701
BOB,1358,1469,1468,1357,670,672,707,705
DYLAN,1498,1677,1676,1497,673,677,712,708
HIGHWAY61,1796,2135,2134,1795,678,684,723,717
REVISITED,2166,2455,2454,2165,684,689,727,722
COMPACT,3421,3495,3495,3421,684,684,701,701
COLUMBIA,3068,3310,3311,3069,705,700,749,754
OISC,3367,3497,3498,3368,697,694,749,752
DIGITAL,3368,3434,3434,3368,749,750,762,761
AUDIO,3441,3495,3495,3441,751,751,763,763
490,936,1038,1038,936,862,861,912,913
335-,1081,1199,1199,1081,860,859,911,912
END-903.35,935,1226,1226,935,911,913,961,959
limp,1320,1515,1514,1319,900,903,978,975
bizkit,1556,1839,1838,1555,907,911,967,963
significant,1888,2395,2394,1887,916,923,994,987
other,2440,2667,2666,2439,923,926,978,975
FLIP/INTERSOOPE,2789,3213,3212,2788,940,949,995,986
RECORDS,3249,3446,3445,3248,954,958,993,989
9362-47963-2,918,1285,1284,918,1150,1155,1193,1188
FILTER/theAmalgamut,1914,2428,2427,1913,1160,1171,1227,1216
REPRISE,3236,3435,3435,3236,1179,1181,1217,1215
VCD,994,1139,1139,994,1402,1403,1448,1447
4400-2,1166,1365,1365,1166,1405,1406,1451,1450
VALIS,1568,1777,1776,1567,1410,1413,1457,1454
I,1819,1827,1826,1818,1414,1414,1457,1457
DESTRUCTION,1936,2459,2458,1935,1416,1422,1473,1467
OF,2494,2585,2584,2493,1423,1424,1468,1467
SYNTAX,2618,2918,2917,2617,1425,1429,1473,1469
SUBHARMONIC,3092,3447,3447,3092,1432,1434,1502,1500
MASZACRA,1556,2259,2257,1554,1592,1599,1747,1740
SICK,2312,2899,2897,2310,1600,1606,1753,1747
VERTIGO,988,1375,1375,988,1644,1647,1691,1688
518,3037,3160,3160,3037,1664,1665,1707,1706
976-2,3188,3379,3379,3188,1665,1667,1708,1706
THE,1760,1859,1858,1759,1888,1889,1960,1959
GUN,1884,1983,1982,1883,1885,1886,1961,1960
CLUB,2008,2131,2130,2007,1882,1883,1959,1958
THE,2232,2331,2330,2231,1889,1890,1961,1960
LAS,2352,2447,2446,2351,1890,1891,1963,1962
VEGAS,2455,2635,2634,2454,1883,1885,1965,1963
STORY,2639,2815,2814,2638,1885,1887,1967,1965
COOKCD507,972,1175,1175,972,1908,1909,1941,1940
COOKING,3176,3321,3321,3176,1916,1916,1951,1951
VINYL,3330,3429,3429,3330,1916,1916,1947,1947
PRONG,1476,1982,1982,1476,2152,2150,2220,2222
CLE,2122,2317,2317,2122,2150,2149,2219,2220
ANSING,2449,2865,2865,2449,2149,2147,2217,2219
474796,3297,3468,3469,3298,2157,2154,2203,2206
2.,3494,3528,3529,3495,2154,2153,2194,2195
SMETANA:,1350,1645,1645,1350,2372,2372,2415,2415
DIE,1668,1757,1757,1668,2376,2376,2415,2415
MOLDAU,1776,2021,2021,1776,2374,2374,2425,2425
VYŠEHRAD,2042,2379,2379,2042,2366,2366,2417,2417
·,2394,2421,2421,2394,2366,2366,2425,2425
AUS,2424,2551,2551,2424,2366,2366,2425,2425
BÖHMENS,2560,2837,2837,2560,2368,2368,2419,2419
HAIN,2856,2983,2983,2856,2380,2380,2417,2417
UND,1352,1469,1469,1352,2432,2432,2473,2473
FLUR,1488,1635,1635,1488,2434,2434,2475,2475
DVOŘÁK:,1684,1943,1943,1684,2424,2424,2475,2475
SLAWISCHE,1962,2311,2311,1962,2422,2422,2483,2483
TÄNZE,2324,2549,2549,2324,2422,2422,2483,2483
-,2552,2599,2599,2552,2422,2422,2483,2483
KUBELIK,2601,2817,2817,2601,2422,2422,2483,2483
STEREO,3132,3351,3351,3132,2376,2376,2417,2417
427,3128,3217,3217,3128,2436,2436,2473,2473
216-2,3234,3369,3369,3234,2436,2436,2475,2475
GR,3390,3471,3471,3390,2432,2432,2473,2473
RESONANCE,901,1259,1258,900,2396,2401,2444,2439
74321,958,1111,1111,958,2686,2686,2731,2731
433052,1140,1355,1355,1140,2686,2686,2735,2735
Anton,2286,2499,2499,2286,2684,2683,2730,2731
Bruckner:,2536,2869,2869,2536,2677,2675,2726,2728
Symphony,2894,3187,3187,2894,2668,2666,2740,2742
No.,3216,3311,3311,3216,2666,2665,2739,2740
5,3328,3357,3357,3328,2676,2676,2723,2723
